Unnamed: 0,R,i,j,theta,delta,X_rep_etude,Y_rep_etude,Z_rep_etude
0,2.2,0.0,0.0,1.57,0.0,0.0,2.2,0.0
1,2.2,1.0,0.0,1.57,0.79,0.0,2.2,0.0
2,2.2,2.0,0.0,1.57,1.57,0.0,2.2,0.0
3,2.2,3.0,0.0,1.57,2.36,-0.0,2.2,0.0
4,2.2,4.0,0.0,1.57,3.14,-0.0,2.2,0.0
5,2.2,5.0,0.0,1.57,3.93,-0.0,2.2,-0.0
6,2.2,6.0,0.0,1.57,4.71,-0.0,2.2,-0.0
7,2.2,7.0,0.0,1.57,5.5,0.0,2.2,-0.0
8,2.2,0.0,1.0,0.79,0.0,1.56,1.56,0.0
9,2.2,1.0,1.0,0.79,0.79,1.1,1.56,1.1
10,2.2,2.0,1.0,0.79,1.57,0.0,1.56,1.56
11,2.2,3.0,1.0,0.79,2.36,-1.1,1.56,1.1
12,2.2,4.0,1.0,0.79,3.14,-1.56,1.56,0.0
13,2.2,5.0,1.0,0.79,3.93,-1.1,1.56,-1.1
14,2.2,6.0,1.0,0.79,4.71,-0.0,1.56,-1.56
15,2.2,7.0,1.0,0.79,5.5,1.1,1.56,-1.1
16,2.2,0.0,2.0,0.0,0.0,2.2,0.0,0.0
17,2.2,1.0,2.0,0.0,0.79,1.56,0.0,1.56
18,2.2,2.0,2.0,0.0,1.57,0.0,0.0,2.2
19,2.2,3.0,2.0,0.0,2.36,-1.56,0.0,1.56
20,2.2,4.0,2.0,0.0,3.14,-2.2,0.0,0.0
21,2.2,5.0,2.0,0.0,3.93,-1.56,0.0,-1.56
22,2.2,6.0,2.0,0.0,4.71,-0.0,0.0,-2.2
23,2.2,7.0,2.0,0.0,5.5,1.56,0.0,-1.56
24,2.2,0.0,3.0,-0.79,0.0,1.56,-1.56,0.0
25,2.2,1.0,3.0,-0.79,0.79,1.1,-1.56,1.1
26,2.2,2.0,3.0,-0.79,1.57,0.0,-1.56,1.56
27,2.2,3.0,3.0,-0.79,2.36,-1.1,-1.56,1.1
28,2.2,4.0,3.0,-0.79,3.14,-1.56,-1.56,0.0
29,2.2,5.0,3.0,-0.79,3.93,-1.1,-1.56,-1.1
30,2.2,6.0,3.0,-0.79,4.71,-0.0,-1.56,-1.56
31,2.2,7.0,3.0,-0.79,5.5,1.1,-1.56,-1.1
32,2.2,0.0,4.0,-1.57,0.0,0.0,-2.2,0.0
33,2.2,1.0,4.0,-1.57,0.79,0.0,-2.2,0.0
34,2.2,2.0,4.0,-1.57,1.57,0.0,-2.2,0.0
35,2.2,3.0,4.0,-1.57,2.36,-0.0,-2.2,0.0
36,2.2,4.0,4.0,-1.57,3.14,-0.0,-2.2,0.0
37,2.2,5.0,4.0,-1.57,3.93,-0.0,-2.2,-0.0
38,2.2,6.0,4.0,-1.57,4.71,-0.0,-2.2,-0.0
39,2.2,7.0,4.0,-1.57,5.5,0.0,-2.2,-0.0
