,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-d,dessus_face,9.840000000000002,4.5,0.227,0.02
1,cabinet-d,dessus_face_droit,10.54,6.0,0.243,0.027
2,cabinet-d,dessus_profil_droit,0.0,0.7,0.0,0.003
3,cabinet-d,dessus_arriere_droit,1.0,0.0,0.023,0.0
4,cabinet-d,dessus_arriere,0.46,0.0,0.011,0.0
5,cabinet-d,dessus_arriere_gauche,0.0,0.0,0.0,0.0
6,cabinet-d,dessus_profil_gauche,0.0,0.6000000000000001,0.0,0.003
7,cabinet-d,dessus_face_gauche,9.54,5.200000000000001,0.22,0.023
8,cabinet-d,face,2.28,97.0,0.053,0.433
9,cabinet-d,face_droit,4.830000000000001,45.0,0.111,0.201
10,cabinet-d,profil_droit,0.0,0.0,0.0,0.0
11,cabinet-d,arriere_droit,0.46,14.0,0.011,0.062
12,cabinet-d,arriere,0.1,4.0,0.002,0.018
13,cabinet-d,arriere_gauche,0.0,9.0,0.0,0.04
14,cabinet-d,profil_gauche,0.0,3.0,0.0,0.013
15,cabinet-d,face_gauche,4.370000000000001,35.0,0.101,0.156
