,categorie,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,-0.0,0.0
2,carVasa,"(np.float64(0.53), 'C')",0.541,2.308,1.662,0.378,1.082,0.465,1.513,[-0.015  0.955],1.071,0.465,0.274,1.082
3,cup,"(np.float64(0.404), 'W')",0.355,1.889,1.407,0.254,0.709,0.739,1.015,[0.469 0.067],inf,0.33,0.132,0.709
4,A380,"(np.float64(0.73), 'C')",0.414,1.449,0.915,0.244,0.827,0.68,0.977,[0.027 0.922],inf,0.355,0.152,0.827
5,cabinet-d,"(np.float64(0.34), 'C')",0.652,4.494,2.628,0.538,1.305,0.355,2.151,[0.099 0.716],inf,0.535,0.389,1.305
6,cabinet-t,"(np.float64(0.53), 'C')",0.678,4.595,2.531,0.498,1.356,0.385,1.991,[0.068 0.802],inf,0.538,0.416,1.356
7,bench,"(np.int64(1), 'C')",0.288,2.498,0.71,0.239,0.575,0.841,0.954,[0.763 0.001],inf,0.253,0.071,0.575
8,chair107,"(np.float64(0.34), 'C')",0.594,4.357,3.459,0.446,1.189,0.446,1.785,[0.144 0.595],0.988,0.457,0.248,1.189
9,cabinet-n,"(np.float64(0.34), 'C')",0.65,3.506,2.286,0.532,1.3,0.328,2.127,[0.024 0.931],inf,0.537,0.396,1.3
10,vase,"(np.float64(0.53), 'C')",0.549,4.787,4.073,0.332,1.098,0.489,1.328,[-0.353  0.179],0.886,0.436,0.224,1.098
