,categorie - 2 axe sym,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,-0.001,0.0
2,carVasa_sym - 0/38,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
3,cup_sym - 0/22,"(np.float64(0.34), 'C')",,,,,,,,[nan nan],,,,
4,A380_sym - 0/185,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
5,cabinet-d_sym - 0/43,"(np.float64(0.75), 'W')",,,,,,,,[nan nan],,,,
6,cabinet-t_sym - 14/63,"(np.float64(0.75), 'W')",0.478,1.189,0.874,0.525,0.956,0.678,1.174,[0.334 0.583],inf,0.462,0.339,0.956
7,bench_sym - 19/47,"(np.float64(0.492), 'W')",0.196,0.594,0.325,0.227,0.392,0.904,0.507,[0.615 0.27 ],0.129,0.174,0.031,0.392
8,cabinet-n_sym - 2/40,"(np.int64(1), 'C')",0.076,0.121,0.121,0.094,0.152,0.994,0.209,[0.991 0.001],0.08,0.166,0.04,0.152
9,vase_sym - 13/157,"(np.float64(0.73), 'C')",0.355,0.537,0.445,0.394,0.71,0.724,0.881,[-0.074  0.906],0.397,0.293,0.092,0.71
10,chair107_sym - 0/249,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
